Time (JD),Relative Flux,Relative Flux Error
2458887.806,0.9988623,0.00177096
2458887.807,1.0005908,0.001767901
2458887.809,0.9996686,0.001769532
2458887.81,1.0000192,0.001768911
2458887.811,0.9999503,0.001769033
2458887.813,0.99971974,0.001769441
2458887.814,0.99996287,0.001769011
2458887.815,0.9991409,0.001770466
2458887.817,1.0004029,0.001768233
2458887.818,1.0010977,0.001767006
2458887.82,1.0011739,0.001766871
2458887.821,0.99987555,0.001769165
2458887.822,1.000303,0.001768409
2458887.824,1.0000268,0.001768898
2458887.825,0.9987448,0.001771168
2458887.827,1.000912,0.001767333
2458887.828,0.9996399,0.001769582
2458887.829,0.99999064,0.001768962
2458887.831,1.0005783,0.001767923
2458887.832,1.0002359,0.001768528
2458887.835,1.0003753,0.001768282
2458887.836,0.99985975,0.001769193
2458887.838,0.99925447,0.001770265
2458887.839,0.99879616,0.001771077
2458887.84,1.0003072,0.001768402
2458887.842,0.99964684,0.00176957
2458887.843,0.9994429,0.001769931
2458887.845,0.9990242,0.001770673
2458887.846,0.99802953,0.001772438
2458887.847,0.99949056,0.001769847
2458887.849,0.9984268,0.001771733
2458887.85,0.9995884,0.001769674
2458887.852,0.99947554,0.001769873
2458887.853,0.998909,0.001770877
2458887.854,0.9989817,0.001770748
2458887.856,0.9989741,0.001770762
2458887.857,0.99756336,0.001773266
2458887.859,0.9994485,0.001769921
2458887.86,0.99940735,0.001769994
2458887.861,0.998021,0.001772453
2458887.863,0.99851257,0.00177158
2458887.864,0.99815756,0.00177221
2458887.865,0.99766773,0.00177308
2458887.867,0.99835986,0.001771851
2458887.868,0.9986017,0.001771422
2458887.87,0.99849266,0.001771616
2458887.871,0.99850535,0.001771593
2458887.872,0.9981474,0.001772228
2458887.874,0.99736995,0.00177361
2458887.875,0.9980941,0.001772323
2458887.877,0.9970528,0.001774174
2458887.879,0.9971078,0.001774076
2458887.881,0.99796116,0.001772559
2458887.882,0.99757415,0.001773247
2458887.884,0.996384,0.001775365
2458887.885,0.9980219,0.001772451
2458887.886,0.9972416,0.001773838
2458887.888,0.99756145,0.001773269
2458887.889,0.9971587,0.001773986
2458887.89,0.997919,0.001772634
2458887.892,0.99772435,0.00177298
2458887.893,0.99733704,0.001773668
2458887.895,0.9970048,0.001774259
2458887.896,0.9961804,0.001775728
2458887.897,0.99760085,0.001773199
2458887.899,0.99694955,0.001774358
2458887.9,0.9981684,0.001772191
2458887.902,0.99681205,0.001774603
2458887.903,0.9964952,0.001775167
2458887.904,0.9974789,0.001773416
2458887.906,0.9972236,0.00177387
2458887.907,0.9951196,0.001777621
2458887.909,0.99576914,0.001776461
2458887.91,0.9959737,0.001776096
2458887.911,0.9968165,0.001774595
2458887.913,0.9943672,0.001778966
2458887.914,0.99538827,0.001777141
2458887.915,0.99642116,0.001775299
2458887.917,0.9967016,0.001774799
2458887.918,0.9966064,0.001774969
2458887.92,0.99575925,0.001776479
2458887.921,0.9960336,0.001775989
2458887.924,0.9961228,0.00177583
2458887.925,0.9958317,0.00177635
2458887.927,0.99648464,0.001775186
2458887.928,0.9948059,0.001778181
2458887.929,0.9947611,0.001778261
2458887.931,0.9954508,0.001777029
2458887.932,0.99606967,0.001775925
2458887.934,0.99540675,0.001777108
2458887.935,0.99570614,0.001776574
2458887.936,0.99491084,0.001777994
2458887.938,0.99496645,0.001777894
2458887.939,0.9957906,0.001776423
2458887.94,0.99546957,0.001776996
2458887.942,0.99524134,0.001777403
2458887.943,0.995406,0.001777109
2458887.945,0.99535066,0.001777208
2458887.946,0.9951522,0.001777562
2458887.947,0.99598354,0.001776079
2458887.949,0.99595183,0.001776135
2458887.95,0.9948701,0.001778066
2458887.952,0.9946414,0.001778475
2458887.953,0.995399,0.001777122
2458887.954,0.9945101,0.00177871
2458887.956,0.9958007,0.001776405
2458887.957,0.9951023,0.001777652
2458887.959,0.9953444,0.001777219
2458887.96,0.9950898,0.001777674
2458887.961,0.9961005,0.00177587
2458887.963,0.99452484,0.001778684
2458887.964,0.9947945,0.001778202
2458887.965,0.9961423,0.001775796
2458887.967,0.9954378,0.001777052
2458887.968,0.9950847,0.001777683
2458887.97,0.9954244,0.001777076
2458887.972,0.99499357,0.001777846
2458887.974,0.99508077,0.00177769
2458887.975,0.9954515,0.001777028
2458887.977,0.9951667,0.001777537
2458887.978,0.9953194,0.001777264
2458887.979,0.9947007,0.001778369
2458887.981,0.9950053,0.001777825
2458887.982,0.9952147,0.001777451
2458887.984,0.994855,0.001778093
2458887.985,0.9950473,0.00177775
2458887.986,0.99574715,0.0017765
2458887.988,0.9949259,0.001777967
2458887.99,0.9948318,0.001778135
2458887.992,0.99490875,0.001777997
2458887.993,0.99485236,0.001778098
2458887.995,0.99568874,0.001776605
2458887.996,0.9940358,0.001779559
2458887.997,0.9953272,0.00177725
2458887.999,0.99426067,0.001779156
2458888,0.9948991,0.001778015
2458888.002,0.995335,0.001777236
2458888.003,0.9951391,0.001777586
2458888.004,0.99504304,0.001777757
2458888.006,0.9942839,0.001779115
2458888.007,0.9956161,0.001776734
2458888.009,0.99479914,0.001778193
2458888.01,0.99557203,0.001776813
2458888.011,0.99478793,0.001778213
2458888.013,0.994939,0.001777943
2458888.014,0.99593586,0.001776164
2458888.015,0.9953098,0.001777281
2458888.017,0.9956404,0.001776691
2458888.018,0.99549073,0.001776958
2458888.02,0.99497974,0.001777871
2458888.021,0.99458545,0.001778575
2458888.022,0.9955224,0.001776901
2458888.024,0.99466723,0.001778429
2458888.025,0.9942216,0.001779226
2458888.027,0.99530226,0.001777294
2458888.028,0.99362695,0.001780291
2458888.029,0.99488616,0.001778038
2458888.031,0.9954912,0.001776957
2458888.032,0.9958228,0.001776365
2458888.034,0.9947521,0.001778277
2458888.035,0.9951624,0.001777544
2458888.036,0.9948735,0.00177806
2458888.038,0.99472475,0.001778326
2458888.039,0.9938563,0.00177988
2458888.04,0.9952758,0.001777342
2458888.042,0.99420905,0.001779249
2458888.043,0.9943012,0.001779084
2458888.045,0.9955845,0.001776791
2458888.046,0.9958852,0.001776254
2458888.047,0.99493754,0.001777946
2458888.049,0.99544317,0.001777043
2458888.05,0.99491906,0.001777979
2458888.054,0.99449605,0.001778735
2458888.056,0.99499196,0.001777849
2458888.057,0.99552125,0.001776903
2458888.059,0.99429995,0.001779086
2458888.06,0.99432003,0.00177905
2458888.061,0.9935809,0.001780374
2458888.063,0.995084,0.001777684
2458888.064,0.9950136,0.00177781
2458888.065,0.9950817,0.001777688
2458888.067,0.995169,0.001777532
2458888.07,0.994291,0.001779102
2458888.071,0.9946518,0.001778457
2458888.072,0.99572,0.001776549
2458888.074,0.9949287,0.001777962
2458888.075,0.9945785,0.001778588
2458888.077,0.99558353,0.001776792
2458888.078,0.9947205,0.001778334
2458888.079,0.99518543,0.001777503
2458888.081,0.9943257,0.00177904
2458888.082,0.9952841,0.001777327
2458888.084,0.99428636,0.00177911
2458888.085,0.99420923,0.001779248
2458888.086,0.9953877,0.001777142
2458888.088,0.9940208,0.001779586
2458888.089,0.9950885,0.001777676
2458888.09,0.9948322,0.001778134
2458888.092,0.99492574,0.001777967
2458888.093,0.9941754,0.001779309
2458888.095,0.99458885,0.001778569
2458888.096,0.9934756,0.001780562
2458888.097,0.9953239,0.001777256
2458888.099,0.994298,0.00177909
2458888.1,0.9950605,0.001777726
2458888.102,0.99429774,0.00177909
2458888.103,0.99527526,0.001777343
2458888.104,0.99453133,0.001778672
2458888.106,0.9946334,0.00177849
2458888.107,0.99520016,0.001777477
2458888.109,0.9951059,0.001777645
2458888.11,0.9948436,0.001778114
2458888.111,0.99562544,0.001776718
2458888.113,0.9940638,0.001779509
2458888.114,0.9943133,0.001779062
2458888.115,0.9954937,0.001776953
2458888.117,0.99466765,0.001778428
2458888.118,0.9956133,0.001776739
2458888.12,0.99445784,0.001778804
2458888.121,0.9947179,0.001778339
2458888.122,0.99566627,0.001776645
2458888.124,0.99505234,0.001777741
2458888.125,0.9941551,0.001779345
2458888.127,0.99562657,0.001776716
2458888.128,0.9951104,0.001777637
2458888.129,0.9955249,0.001776897
2458888.131,0.9949063,0.001778002
2458888.132,0.9952506,0.001777387
2458888.134,0.9941553,0.001779345
2458888.135,0.99474734,0.001778286
2458888.136,0.9950958,0.001777663
2458888.138,0.99387413,0.001779848
2458888.139,0.99521315,0.001777454
2458888.14,0.9947646,0.001778255
2458888.142,0.9942561,0.001779165
2458888.143,0.9949246,0.001777969
2458888.145,0.9957634,0.001776471
2458888.146,0.99489295,0.001778026
2458888.147,0.9951191,0.001777622
2458888.149,0.9933861,0.001780723
2458888.15,0.9952078,0.001777463
2458888.152,0.9948366,0.001778126
2458888.153,0.99451005,0.00177871
2458888.154,0.99593914,0.001776158
2458888.156,0.99426556,0.001779148
2458888.157,0.9952968,0.001777304
2458888.159,0.9954881,0.001776963
2458888.16,0.99617416,0.001775739
2458888.161,0.995359,0.001777193
2458888.163,0.9952054,0.001777467
2458888.164,0.99553645,0.001776876
2458888.165,0.9950435,0.001777757
2458888.167,0.9962448,0.001775613
2458888.168,0.99379134,0.001779997
2458888.17,0.996253,0.001775598
2458888.171,0.99402785,0.001779573
2458888.172,0.99585843,0.001776302
2458888.174,0.9946807,0.001778405
2458888.175,0.9955569,0.00177684
2458888.177,0.9956318,0.001776706
2458888.178,0.9954085,0.001777105
2458888.179,0.9942835,0.001779115
2458888.181,0.99602556,0.001776004
2458888.184,0.9963768,0.001775378
2458888.185,0.99490273,0.001778008
2458888.186,0.99502677,0.001777787
2458888.188,0.9953698,0.001777174
2458888.189,0.9956953,0.001776593
2458888.19,0.99498945,0.001777853
2458888.192,0.99564034,0.001776691
2458888.193,0.9952751,0.001777343
2458888.195,0.99583006,0.001776352
2458888.196,0.99572456,0.001776541
2458888.197,0.9946137,0.001778525
2458888.199,0.99552655,0.001776894
2458888.2,0.9949598,0.001777906
2458888.202,0.9954126,0.001777098
2458888.203,0.9963425,0.001775439
2458888.204,0.99517936,0.001777514
2458888.206,0.9957507,0.001776494
2458888.207,0.9951737,0.001777524
2458888.209,0.99622035,0.001775657
2458888.21,0.9959757,0.001776093
2458888.211,0.9958174,0.001776375
